name,contributor_zip,total_raised
CAL FOR NC (US SENATE),27587,5850
CAL FOR NC (US SENATE),27601,1550
CAL FOR NC (US SENATE),27602,500
CAL FOR NC (US SENATE),27603,1000
CAL FOR NC (US SENATE),27604,4500
CAL FOR NC (US SENATE),27605,11575
CAL FOR NC (US SENATE),27606,9155
CAL FOR NC (US SENATE),27607,1500
CAL FOR NC (US SENATE),27608,32912.5
CAL FOR NC (US SENATE),27609,35800
CAL FOR NC (US SENATE),27610,1000
CAL FOR NC (US SENATE),27612,11200
CAL FOR NC (US SENATE),27613,2157
CAL FOR NC (US SENATE),27614,15750
CAL FOR NC (US SENATE),27615,6950
CAL FOR NC (US SENATE),27616,500
CAL FOR NC (US SENATE),27617,225
CAL FOR NC (US SENATE),27701,6050
CAL FOR NC (US SENATE),27705,7075
CAL FOR NC (US SENATE),27707,5475
CAL FOR NC (US SENATE),27710,305
CAL FOR NC (US SENATE),27712,250
CAL FOR NC (US SENATE),27713,6850
CAL FOR NC (US SENATE),27803,300
CAL FOR NC (US SENATE),27851,1000
CAL FOR NC (US SENATE),27864,5600
CAL FOR NC (US SENATE),27893,1200
CAL FOR NC (US SENATE),27894,500
CAL FOR NC (US SENATE),27954,600
CAL FOR NC (US SENATE),27959,500
CAL FOR NC (US SENATE),28001,1000
CAL FOR NC (US SENATE),28012,250
CAL FOR NC (US SENATE),28025,800
CAL FOR NC (US SENATE),28075,1000
CAL FOR NC (US SENATE),28144,8600
CAL FOR NC (US SENATE),28147,650
CAL FOR NC (US SENATE),28164,1060
CAL FOR NC (US SENATE),28202,2025
CAL FOR NC (US SENATE),28203,17050
CAL FOR NC (US SENATE),28204,275
CAL FOR NC (US SENATE),28205,3300
CAL FOR NC (US SENATE),28207,1900
CAL FOR NC (US SENATE),28209,4020
CAL FOR NC (US SENATE),28210,2125
CAL FOR NC (US SENATE),28211,250
CAL FOR NC (US SENATE),28212,250
CAL FOR NC (US SENATE),28226,750
CAL FOR NC (US SENATE),28277,1250
CAL FOR NC (US SENATE),28278,17050
CAL FOR NC (US SENATE),28301,275
CAL FOR NC (US SENATE),28302,1500
CAL FOR NC (US SENATE),28304,250
CAL FOR NC (US SENATE),28315,500
CAL FOR NC (US SENATE),28328,500
CAL FOR NC (US SENATE),28334,250
CAL FOR NC (US SENATE),28352,222
CAL FOR NC (US SENATE),28374,260
CAL FOR NC (US SENATE),28387,1000
CAL FOR NC (US SENATE),28403,525
CAL FOR NC (US SENATE),28412,400
CAL FOR NC (US SENATE),28443,500
CAL FOR NC (US SENATE),28445,500
CAL FOR NC (US SENATE),28449,500
CAL FOR NC (US SENATE),28461,400
CAL FOR NC (US SENATE),28504,3050
CAL FOR NC (US SENATE),28562,1575
CAL FOR NC (US SENATE),28594,250
CAL FOR NC (US SENATE),28601,1500
CAL FOR NC (US SENATE),28605,2800
CAL FOR NC (US SENATE),28607,300
CAL FOR NC (US SENATE),28621,450
CAL FOR NC (US SENATE),28625,250
CAL FOR NC (US SENATE),28645,2000
CAL FOR NC (US SENATE),28659,550
CAL FOR NC (US SENATE),28673,175
CAL FOR NC (US SENATE),28677,6800
CAL FOR NC (US SENATE),28681,500
CAL FOR NC (US SENATE),28691,1000
CAL FOR NC (US SENATE),28712,420
CAL FOR NC (US SENATE),28714,350
CAL FOR NC (US SENATE),28716,5600
CAL FOR NC (US SENATE),28730,500
CAL FOR NC (US SENATE),28731,500
CAL FOR NC (US SENATE),28734,250
CAL FOR NC (US SENATE),28741,250
CAL FOR NC (US SENATE),28757,175
CAL FOR NC (US SENATE),28787,255
CAL FOR NC (US SENATE),28792,425
CAL FOR NC (US SENATE),28801,1250
CAL FOR NC (US SENATE),28803,700
CAL FOR NC (US SENATE),28804,8425
CAL FOR NC (US SENATE),28806,1000
CAL FOR NC (US SENATE),29572,1000
CAL FOR NC (US SENATE),29585,2500
CAL FOR NC (US SENATE),29841,250
CAL FOR NC (US SENATE),30305,250
CAL FOR NC (US SENATE),30606,1000
CAL FOR NC (US SENATE),33040,1000
CAL FOR NC (US SENATE),33435,300
CAL FOR NC (US SENATE),33483,350
CAL FOR NC (US SENATE),33556,1250
CAL FOR NC (US SENATE),33921,5600
CAL FOR NC (US SENATE),37401,1250
CAL FOR NC (US SENATE),60091,11200
CAL FOR NC (US SENATE),60102,250
CAL FOR NC (US SENATE),60602,1000
CAL FOR NC (US SENATE),60611,5600
CAL FOR NC (US SENATE),66213,250
CAL FOR NC (US SENATE),75036,350
CAL FOR NC (US SENATE),75219,11200
CAL FOR NC (US SENATE),78209,950
CAL FOR NC (US SENATE),78708,5600
CAL FOR NC (US SENATE),78746,500
CAL FOR NC (US SENATE),80501,500
CAL FOR NC (US SENATE),83843,1000
CAL FOR NC (US SENATE),85718,575
CAL FOR NC (US SENATE),87501,1000
CAL FOR NC (US SENATE),89101,216
CAL FOR NC (US SENATE),89519,1000
CAL FOR NC (US SENATE),90025,8400
CAL FOR NC (US SENATE),90049,8650
CAL FOR NC (US SENATE),90067,2800
CAL FOR NC (US SENATE),90077,1000
CAL FOR NC (US SENATE),90210,8100
CAL FOR NC (US SENATE),90211,2800
CAL FOR NC (US SENATE),90212,500
CAL FOR NC (US SENATE),90275,4800
CAL FOR NC (US SENATE),90402,11200
CAL FOR NC (US SENATE),90403,500
CAL FOR NC (US SENATE),91326,2800
CAL FOR NC (US SENATE),91356,2800
CAL FOR NC (US SENATE),91364,1000
CAL FOR NC (US SENATE),92037,250
CAL FOR NC (US SENATE),93108,522.5
CAL FOR NC (US SENATE),93721,5600
CAL FOR NC (US SENATE),94023,2800
CAL FOR NC (US SENATE),94024,250
CAL FOR NC (US SENATE),94027,5600
CAL FOR NC (US SENATE),94041,2800
CAL FOR NC (US SENATE),94070,1000
CAL FOR NC (US SENATE),94105,2800
CAL FOR NC (US SENATE),94129,5600
CAL FOR NC (US SENATE),94595,1000
CAL FOR NC (US SENATE),94602,1000
CAL FOR NC (US SENATE),94610,500
CAL FOR NC (US SENATE),94611,11200
CAL FOR NC (US SENATE),94705,1000
CAL FOR NC (US SENATE),94903,250
CAL FOR NC (US SENATE),94920,2800
