name,contributor_zip,total_raised
ERICA FOR US,97217,6.25
ERICA FOR US,97219,6.25
ERICA FOR US,97222,12.5
ERICA FOR US,97229,4
ERICA FOR US,97266,6.25
ERICA FOR US,97269,6.25
ERICA FOR US,97364,2.5
ERICA FOR US,97401,10
ERICA FOR US,97404,6.25
ERICA FOR US,98008,2.5
ERICA FOR US,98033,2.5
ERICA FOR US,98070,25
ERICA FOR US,98079,25
ERICA FOR US,98102,12.5
ERICA FOR US,98109,6.25
ERICA FOR US,98115,35.5
ERICA FOR US,98118,5
ERICA FOR US,98119,112.5
ERICA FOR US,98177,22.5
ERICA FOR US,98229,3
ERICA FOR US,98387,6.25
ERICA FOR US,98499,20
ERICA FOR US,98684,5
ERICA FOR US,99163,20
ERICA FOR US,99336,25
ERICA FOR US,99611,100
ERICA FOR US,NA,20730.28
FULLER FOR NORTH CAROLINA,02114,500
FULLER FOR NORTH CAROLINA,14203,300
FULLER FOR NORTH CAROLINA,14215,1500
FULLER FOR NORTH CAROLINA,14221,1000
FULLER FOR NORTH CAROLINA,28104,2000
FULLER FOR NORTH CAROLINA,28105,500
FULLER FOR NORTH CAROLINA,28173,1500
FULLER FOR NORTH CAROLINA,28202,500
FULLER FOR NORTH CAROLINA,28206,1500
FULLER FOR NORTH CAROLINA,28207,1000
FULLER FOR NORTH CAROLINA,28208,1500
FULLER FOR NORTH CAROLINA,28210,1500
FULLER FOR NORTH CAROLINA,28211,1150
FULLER FOR NORTH CAROLINA,28215,750
FULLER FOR NORTH CAROLINA,28226,1000
FULLER FOR NORTH CAROLINA,28227,750
FULLER FOR NORTH CAROLINA,28230,1000
FULLER FOR NORTH CAROLINA,28269,250
FULLER FOR NORTH CAROLINA,28270,1500
FULLER FOR NORTH CAROLINA,28271,2000
FULLER FOR NORTH CAROLINA,28277,1500
FULLER FOR NORTH CAROLINA,28278,500
FULLER FOR NORTH CAROLINA,28480,1500
FULLER FOR NORTH CAROLINA,28504,250
FULLER FOR NORTH CAROLINA,29707,500
GARLAND TUCKER FOR SENATE,02108,500
GARLAND TUCKER FOR SENATE,10019,2800
GARLAND TUCKER FOR SENATE,10021,2800
GARLAND TUCKER FOR SENATE,10292,2800
GARLAND TUCKER FOR SENATE,15143,2000
GARLAND TUCKER FOR SENATE,20009,2200
GARLAND TUCKER FOR SENATE,21202,2800
GARLAND TUCKER FOR SENATE,23226,1000
GARLAND TUCKER FOR SENATE,24450,500
GARLAND TUCKER FOR SENATE,27006,1250
GARLAND TUCKER FOR SENATE,27012,965
GARLAND TUCKER FOR SENATE,27017,250
GARLAND TUCKER FOR SENATE,27023,3050
GARLAND TUCKER FOR SENATE,27027,1100
GARLAND TUCKER FOR SENATE,27101,50
GARLAND TUCKER FOR SENATE,27103,2800
GARLAND TUCKER FOR SENATE,27104,11050
GARLAND TUCKER FOR SENATE,27106,2825
GARLAND TUCKER FOR SENATE,27114,2800
GARLAND TUCKER FOR SENATE,27203,700
GARLAND TUCKER FOR SENATE,27205,3750
GARLAND TUCKER FOR SENATE,27207,150
GARLAND TUCKER FOR SENATE,27215,900
GARLAND TUCKER FOR SENATE,27253,500
GARLAND TUCKER FOR SENATE,27260,1000
GARLAND TUCKER FOR SENATE,27262,5100
GARLAND TUCKER FOR SENATE,27265,625
GARLAND TUCKER FOR SENATE,27278,250
GARLAND TUCKER FOR SENATE,27302,100
GARLAND TUCKER FOR SENATE,27312,2800
GARLAND TUCKER FOR SENATE,27320,1000
GARLAND TUCKER FOR SENATE,27330,250
GARLAND TUCKER FOR SENATE,27344,350
GARLAND TUCKER FOR SENATE,27360,500
GARLAND TUCKER FOR SENATE,27370,800
GARLAND TUCKER FOR SENATE,27402,1500
GARLAND TUCKER FOR SENATE,27403,500
GARLAND TUCKER FOR SENATE,27405,250
GARLAND TUCKER FOR SENATE,27406,250
GARLAND TUCKER FOR SENATE,27407,1750
GARLAND TUCKER FOR SENATE,27408,10694.28
GARLAND TUCKER FOR SENATE,27410,850
GARLAND TUCKER FOR SENATE,27415,250
GARLAND TUCKER FOR SENATE,27429,500
GARLAND TUCKER FOR SENATE,27455,3725
GARLAND TUCKER FOR SENATE,27502,100
GARLAND TUCKER FOR SENATE,27511,375
GARLAND TUCKER FOR SENATE,27513,375
GARLAND TUCKER FOR SENATE,27514,375
GARLAND TUCKER FOR SENATE,27515,1750
GARLAND TUCKER FOR SENATE,27516,2625
GARLAND TUCKER FOR SENATE,27517,3300
GARLAND TUCKER FOR SENATE,27518,15050
GARLAND TUCKER FOR SENATE,27519,3050
GARLAND TUCKER FOR SENATE,27522,250
GARLAND TUCKER FOR SENATE,27526,7200
GARLAND TUCKER FOR SENATE,27527,250
GARLAND TUCKER FOR SENATE,27529,1600
GARLAND TUCKER FOR SENATE,27530,1250
GARLAND TUCKER FOR SENATE,27534,750
GARLAND TUCKER FOR SENATE,27539,500
GARLAND TUCKER FOR SENATE,27540,875
GARLAND TUCKER FOR SENATE,27545,300
GARLAND TUCKER FOR SENATE,27549,125
GARLAND TUCKER FOR SENATE,27560,250
GARLAND TUCKER FOR SENATE,27565,325
GARLAND TUCKER FOR SENATE,27577,775
GARLAND TUCKER FOR SENATE,27587,1100
GARLAND TUCKER FOR SENATE,27591,300
GARLAND TUCKER FOR SENATE,27597,975
GARLAND TUCKER FOR SENATE,27602,3500
GARLAND TUCKER FOR SENATE,27603,1450
GARLAND TUCKER FOR SENATE,27604,500
GARLAND TUCKER FOR SENATE,27605,3800
GARLAND TUCKER FOR SENATE,27606,3500
GARLAND TUCKER FOR SENATE,27607,15650
GARLAND TUCKER FOR SENATE,27608,61325
GARLAND TUCKER FOR SENATE,27609,54800
GARLAND TUCKER FOR SENATE,27610,700
GARLAND TUCKER FOR SENATE,27612,25125
GARLAND TUCKER FOR SENATE,27613,2500
GARLAND TUCKER FOR SENATE,27614,6800
GARLAND TUCKER FOR SENATE,27615,18010
GARLAND TUCKER FOR SENATE,27616,5600
GARLAND TUCKER FOR SENATE,27619,2050
GARLAND TUCKER FOR SENATE,27624,5000
GARLAND TUCKER FOR SENATE,27701,75
GARLAND TUCKER FOR SENATE,27705,3800
GARLAND TUCKER FOR SENATE,27707,100
GARLAND TUCKER FOR SENATE,27713,350
GARLAND TUCKER FOR SENATE,27715,250
GARLAND TUCKER FOR SENATE,27803,2285.44
GARLAND TUCKER FOR SENATE,27804,4225
GARLAND TUCKER FOR SENATE,27822,1000
GARLAND TUCKER FOR SENATE,27823,200
GARLAND TUCKER FOR SENATE,27835,500
GARLAND TUCKER FOR SENATE,27850,1000
GARLAND TUCKER FOR SENATE,27856,250
GARLAND TUCKER FOR SENATE,27858,2775
GARLAND TUCKER FOR SENATE,27883,250
GARLAND TUCKER FOR SENATE,27886,500
GARLAND TUCKER FOR SENATE,27889,500
GARLAND TUCKER FOR SENATE,27893,4150
GARLAND TUCKER FOR SENATE,27894,2000
GARLAND TUCKER FOR SENATE,27895,2800
GARLAND TUCKER FOR SENATE,27896,2950
GARLAND TUCKER FOR SENATE,27944,200
GARLAND TUCKER FOR SENATE,28031,500
GARLAND TUCKER FOR SENATE,28078,200
GARLAND TUCKER FOR SENATE,28081,500
GARLAND TUCKER FOR SENATE,28144,250
GARLAND TUCKER FOR SENATE,28145,2000
GARLAND TUCKER FOR SENATE,28203,250
GARLAND TUCKER FOR SENATE,28205,750
GARLAND TUCKER FOR SENATE,28207,3125
GARLAND TUCKER FOR SENATE,28209,1000
GARLAND TUCKER FOR SENATE,28210,500
GARLAND TUCKER FOR SENATE,28211,11725
GARLAND TUCKER FOR SENATE,28216,1000
GARLAND TUCKER FOR SENATE,28226,2000
GARLAND TUCKER FOR SENATE,28227,500
GARLAND TUCKER FOR SENATE,28270,250
GARLAND TUCKER FOR SENATE,28277,750
GARLAND TUCKER FOR SENATE,28302,500
GARLAND TUCKER FOR SENATE,28303,3850
GARLAND TUCKER FOR SENATE,28305,500
GARLAND TUCKER FOR SENATE,28314,750
GARLAND TUCKER FOR SENATE,28370,250
GARLAND TUCKER FOR SENATE,28374,2800
GARLAND TUCKER FOR SENATE,28403,200
GARLAND TUCKER FOR SENATE,28404,250
GARLAND TUCKER FOR SENATE,28405,5400
GARLAND TUCKER FOR SENATE,28411,3081.04
GARLAND TUCKER FOR SENATE,28412,150
GARLAND TUCKER FOR SENATE,28429,110
GARLAND TUCKER FOR SENATE,28461,225
GARLAND TUCKER FOR SENATE,28480,3750
GARLAND TUCKER FOR SENATE,28501,1000
GARLAND TUCKER FOR SENATE,28512,1000
GARLAND TUCKER FOR SENATE,28516,250
GARLAND TUCKER FOR SENATE,28557,5850
GARLAND TUCKER FOR SENATE,28562,200
GARLAND TUCKER FOR SENATE,28570,500
GARLAND TUCKER FOR SENATE,28584,250
GARLAND TUCKER FOR SENATE,28601,13450
GARLAND TUCKER FOR SENATE,28602,250
GARLAND TUCKER FOR SENATE,28605,9500
GARLAND TUCKER FOR SENATE,28607,250
GARLAND TUCKER FOR SENATE,28613,500
GARLAND TUCKER FOR SENATE,28621,310
GARLAND TUCKER FOR SENATE,28625,250
GARLAND TUCKER FOR SENATE,28630,100
GARLAND TUCKER FOR SENATE,28645,100
GARLAND TUCKER FOR SENATE,28646,350
GARLAND TUCKER FOR SENATE,28655,150
GARLAND TUCKER FOR SENATE,28664,500
GARLAND TUCKER FOR SENATE,28692,2000
GARLAND TUCKER FOR SENATE,28711,200
GARLAND TUCKER FOR SENATE,28732,2800
GARLAND TUCKER FOR SENATE,28744,2000
GARLAND TUCKER FOR SENATE,28777,2000
GARLAND TUCKER FOR SENATE,28803,250
GARLAND TUCKER FOR SENATE,28804,1000
GARLAND TUCKER FOR SENATE,29020,1000
GARLAND TUCKER FOR SENATE,29466,5850
GARLAND TUCKER FOR SENATE,29928,1000
GARLAND TUCKER FOR SENATE,32963,5600
GARLAND TUCKER FOR SENATE,33480,2000
GARLAND TUCKER FOR SENATE,33611,1000
GARLAND TUCKER FOR SENATE,33898,250
GARLAND TUCKER FOR SENATE,33957,250
GARLAND TUCKER FOR SENATE,35213,700
GARLAND TUCKER FOR SENATE,36064,2000
GARLAND TUCKER FOR SENATE,40361,2000
GARLAND TUCKER FOR SENATE,44122,225
GARLAND TUCKER FOR SENATE,48034,250
GARLAND TUCKER FOR SENATE,70130,1000
GARLAND TUCKER FOR SENATE,75074,1000
GARLAND TUCKER FOR SENATE,75205,1000
GARLAND TUCKER FOR SENATE,76906,250
GARLAND TUCKER FOR SENATE,77098,250
GARLAND TUCKER FOR SENATE,80231,2800
GARLAND TUCKER FOR SENATE,91910,400
MANSFIELD FOR NORTH CAROLINA,00803,1000
MANSFIELD FOR NORTH CAROLINA,02238,60425
MANSFIELD FOR NORTH CAROLINA,11211,2700
MANSFIELD FOR NORTH CAROLINA,16803,500
MANSFIELD FOR NORTH CAROLINA,20716,350
MANSFIELD FOR NORTH CAROLINA,27215,250
MANSFIELD FOR NORTH CAROLINA,27510,250
MANSFIELD FOR NORTH CAROLINA,27512,1000
MANSFIELD FOR NORTH CAROLINA,27514,3950
MANSFIELD FOR NORTH CAROLINA,27516,3550
MANSFIELD FOR NORTH CAROLINA,27517,2000
MANSFIELD FOR NORTH CAROLINA,27529,500
MANSFIELD FOR NORTH CAROLINA,27587,500
MANSFIELD FOR NORTH CAROLINA,27592,2000
MANSFIELD FOR NORTH CAROLINA,27596,250
MANSFIELD FOR NORTH CAROLINA,27604,500
MANSFIELD FOR NORTH CAROLINA,27605,216.72
MANSFIELD FOR NORTH CAROLINA,27609,500
MANSFIELD FOR NORTH CAROLINA,27612,1500
MANSFIELD FOR NORTH CAROLINA,27615,500
MANSFIELD FOR NORTH CAROLINA,27617,2000
MANSFIELD FOR NORTH CAROLINA,27701,2700
MANSFIELD FOR NORTH CAROLINA,27705,6600
MANSFIELD FOR NORTH CAROLINA,27707,750
MANSFIELD FOR NORTH CAROLINA,27709,250
MANSFIELD FOR NORTH CAROLINA,27712,500
MANSFIELD FOR NORTH CAROLINA,27834,250
MANSFIELD FOR NORTH CAROLINA,27893,350
MANSFIELD FOR NORTH CAROLINA,27959,500
MANSFIELD FOR NORTH CAROLINA,28002,300
MANSFIELD FOR NORTH CAROLINA,28211,250
MANSFIELD FOR NORTH CAROLINA,28301,5600
MANSFIELD FOR NORTH CAROLINA,28302,250
MANSFIELD FOR NORTH CAROLINA,28303,9400
MANSFIELD FOR NORTH CAROLINA,28304,4750
MANSFIELD FOR NORTH CAROLINA,28305,1750
MANSFIELD FOR NORTH CAROLINA,28306,4550
MANSFIELD FOR NORTH CAROLINA,28311,8550
MANSFIELD FOR NORTH CAROLINA,28312,900
MANSFIELD FOR NORTH CAROLINA,28314,9700
MANSFIELD FOR NORTH CAROLINA,28345,250
MANSFIELD FOR NORTH CAROLINA,28348,1175
MANSFIELD FOR NORTH CAROLINA,28358,500
MANSFIELD FOR NORTH CAROLINA,28374,500
MANSFIELD FOR NORTH CAROLINA,28376,500
MANSFIELD FOR NORTH CAROLINA,28377,500
MANSFIELD FOR NORTH CAROLINA,28387,250
MANSFIELD FOR NORTH CAROLINA,28399,500
MANSFIELD FOR NORTH CAROLINA,28540,250
MANSFIELD FOR NORTH CAROLINA,28601,1000
MANSFIELD FOR NORTH CAROLINA,29501,500
MANSFIELD FOR NORTH CAROLINA,31820,2500
MANSFIELD FOR NORTH CAROLINA,31904,2950
MANSFIELD FOR NORTH CAROLINA,31906,1000
MANSFIELD FOR NORTH CAROLINA,32034,2800
MANSFIELD FOR NORTH CAROLINA,32257,1000
MANSFIELD FOR NORTH CAROLINA,78259,1000
THOM TILLIS COMMITTEE,01742,5600
THOM TILLIS COMMITTEE,02111,1500
THOM TILLIS COMMITTEE,02118,1500
THOM TILLIS COMMITTEE,02468,1000
THOM TILLIS COMMITTEE,02649,1250
THOM TILLIS COMMITTEE,02912,2800
THOM TILLIS COMMITTEE,03254,1000
THOM TILLIS COMMITTEE,05254,1500
THOM TILLIS COMMITTEE,06340,2700
THOM TILLIS COMMITTEE,06824,5300
THOM TILLIS COMMITTEE,06840,8400
THOM TILLIS COMMITTEE,06880,2800
THOM TILLIS COMMITTEE,06883,5000
THOM TILLIS COMMITTEE,06901,9000
THOM TILLIS COMMITTEE,06903,2500
THOM TILLIS COMMITTEE,07030,2500
THOM TILLIS COMMITTEE,07039,2500
THOM TILLIS COMMITTEE,07043,2000
THOM TILLIS COMMITTEE,07052,2000
THOM TILLIS COMMITTEE,07078,100
THOM TILLIS COMMITTEE,07079,1000
THOM TILLIS COMMITTEE,07090,5300
THOM TILLIS COMMITTEE,07102,10000
THOM TILLIS COMMITTEE,07417,5600
THOM TILLIS COMMITTEE,07450,5000
THOM TILLIS COMMITTEE,07656,1250
THOM TILLIS COMMITTEE,07666,2500
THOM TILLIS COMMITTEE,07733,1000
THOM TILLIS COMMITTEE,07739,2500
THOM TILLIS COMMITTEE,07746,1000
THOM TILLIS COMMITTEE,07760,2500
THOM TILLIS COMMITTEE,07869,1500
THOM TILLIS COMMITTEE,07934,1000
THOM TILLIS COMMITTEE,07940,3800
THOM TILLIS COMMITTEE,07960,7800
THOM TILLIS COMMITTEE,08534,1750
THOM TILLIS COMMITTEE,08753,1500
THOM TILLIS COMMITTEE,08831,2500
THOM TILLIS COMMITTEE,08850,1000
THOM TILLIS COMMITTEE,10003,10000
THOM TILLIS COMMITTEE,10004,1500
THOM TILLIS COMMITTEE,10006,5600
THOM TILLIS COMMITTEE,10007,2500
THOM TILLIS COMMITTEE,10010,4000
THOM TILLIS COMMITTEE,10011,8100
THOM TILLIS COMMITTEE,10013,3500
THOM TILLIS COMMITTEE,10014,10300
THOM TILLIS COMMITTEE,10016,3000
THOM TILLIS COMMITTEE,10017,4000
THOM TILLIS COMMITTEE,10021,18200
THOM TILLIS COMMITTEE,10022,13700
THOM TILLIS COMMITTEE,10023,11500
THOM TILLIS COMMITTEE,10024,10500
THOM TILLIS COMMITTEE,10025,6000
THOM TILLIS COMMITTEE,10028,7300
THOM TILLIS COMMITTEE,10055,5600
THOM TILLIS COMMITTEE,10065,500
THOM TILLIS COMMITTEE,10128,7600
THOM TILLIS COMMITTEE,10154,5600
THOM TILLIS COMMITTEE,10280,2800
THOM TILLIS COMMITTEE,10282,11200
THOM TILLIS COMMITTEE,10305,150
THOM TILLIS COMMITTEE,10504,2500
THOM TILLIS COMMITTEE,10528,2500
THOM TILLIS COMMITTEE,10538,2500
THOM TILLIS COMMITTEE,10543,5000
THOM TILLIS COMMITTEE,10580,2500
THOM TILLIS COMMITTEE,10583,12700
THOM TILLIS COMMITTEE,10801,5650
THOM TILLIS COMMITTEE,11023,2500
THOM TILLIS COMMITTEE,11050,3500
THOM TILLIS COMMITTEE,11201,1500
THOM TILLIS COMMITTEE,11232,1850
THOM TILLIS COMMITTEE,11516,2500
THOM TILLIS COMMITTEE,11568,2500
THOM TILLIS COMMITTEE,11598,2500
THOM TILLIS COMMITTEE,11722,250
THOM TILLIS COMMITTEE,11724,5600
THOM TILLIS COMMITTEE,11768,2500
THOM TILLIS COMMITTEE,11787,2000
THOM TILLIS COMMITTEE,18901,280
THOM TILLIS COMMITTEE,18938,50
THOM TILLIS COMMITTEE,19003,2000
THOM TILLIS COMMITTEE,19041,1500
THOM TILLIS COMMITTEE,19348,250
THOM TILLIS COMMITTEE,20001,6880
THOM TILLIS COMMITTEE,20002,20525
THOM TILLIS COMMITTEE,20003,15500
THOM TILLIS COMMITTEE,20005,2500
THOM TILLIS COMMITTEE,20007,5250
THOM TILLIS COMMITTEE,20009,4500
THOM TILLIS COMMITTEE,20015,5000
THOM TILLIS COMMITTEE,20016,4500
THOM TILLIS COMMITTEE,20017,2800
THOM TILLIS COMMITTEE,20024,500
THOM TILLIS COMMITTEE,20036,6800
THOM TILLIS COMMITTEE,20037,1500
THOM TILLIS COMMITTEE,20171,1000
THOM TILLIS COMMITTEE,20176,1500
THOM TILLIS COMMITTEE,20184,2800
THOM TILLIS COMMITTEE,20190,2500
THOM TILLIS COMMITTEE,20751,5200
THOM TILLIS COMMITTEE,20814,1500
THOM TILLIS COMMITTEE,20816,1500
THOM TILLIS COMMITTEE,20817,2000
THOM TILLIS COMMITTEE,20854,14400
THOM TILLIS COMMITTEE,20895,500
THOM TILLIS COMMITTEE,21032,500
THOM TILLIS COMMITTEE,21401,5000
THOM TILLIS COMMITTEE,21601,2500
THOM TILLIS COMMITTEE,22003,1000
THOM TILLIS COMMITTEE,22010,1000
THOM TILLIS COMMITTEE,22031,1000
THOM TILLIS COMMITTEE,22032,1000
THOM TILLIS COMMITTEE,22033,1000
THOM TILLIS COMMITTEE,22039,1000
THOM TILLIS COMMITTEE,22041,1250
THOM TILLIS COMMITTEE,22043,1000
THOM TILLIS COMMITTEE,22066,2800
THOM TILLIS COMMITTEE,22101,31400
THOM TILLIS COMMITTEE,22102,1200
THOM TILLIS COMMITTEE,22180,3500
THOM TILLIS COMMITTEE,22201,1250
THOM TILLIS COMMITTEE,22202,5000
THOM TILLIS COMMITTEE,22204,500
THOM TILLIS COMMITTEE,22205,2500
THOM TILLIS COMMITTEE,22206,500
THOM TILLIS COMMITTEE,22207,13633.22
THOM TILLIS COMMITTEE,22209,2500
THOM TILLIS COMMITTEE,22219,117978.88
THOM TILLIS COMMITTEE,22301,500
THOM TILLIS COMMITTEE,22302,12600
THOM TILLIS COMMITTEE,22304,6100
THOM TILLIS COMMITTEE,22305,3000
THOM TILLIS COMMITTEE,22307,19300
THOM TILLIS COMMITTEE,22308,4075
THOM TILLIS COMMITTEE,22310,500
THOM TILLIS COMMITTEE,22313,1000
THOM TILLIS COMMITTEE,22314,16850
THOM TILLIS COMMITTEE,23113,2800
THOM TILLIS COMMITTEE,23219,4550
THOM TILLIS COMMITTEE,23220,2916.96
THOM TILLIS COMMITTEE,23221,2000
THOM TILLIS COMMITTEE,23226,1000
THOM TILLIS COMMITTEE,23229,4800
THOM TILLIS COMMITTEE,23322,1000
THOM TILLIS COMMITTEE,23452,500
THOM TILLIS COMMITTEE,23454,3000
THOM TILLIS COMMITTEE,23860,1000
THOM TILLIS COMMITTEE,24014,6600
THOM TILLIS COMMITTEE,27006,5700
THOM TILLIS COMMITTEE,27012,3500
THOM TILLIS COMMITTEE,27023,10600
THOM TILLIS COMMITTEE,27028,100
THOM TILLIS COMMITTEE,27030,750
THOM TILLIS COMMITTEE,27045,400
THOM TILLIS COMMITTEE,27048,300
THOM TILLIS COMMITTEE,27101,5400
THOM TILLIS COMMITTEE,27103,15000
THOM TILLIS COMMITTEE,27104,30775
THOM TILLIS COMMITTEE,27106,49600
THOM TILLIS COMMITTEE,27114,555
THOM TILLIS COMMITTEE,27127,250
THOM TILLIS COMMITTEE,27205,1250
THOM TILLIS COMMITTEE,27215,4000
THOM TILLIS COMMITTEE,27216,5000
THOM TILLIS COMMITTEE,27235,100
THOM TILLIS COMMITTEE,27242,500
THOM TILLIS COMMITTEE,27244,100
THOM TILLIS COMMITTEE,27260,10300
THOM TILLIS COMMITTEE,27262,1250
THOM TILLIS COMMITTEE,27278,250
THOM TILLIS COMMITTEE,27282,100
THOM TILLIS COMMITTEE,27283,1000
THOM TILLIS COMMITTEE,27295,70
THOM TILLIS COMMITTEE,27298,200
THOM TILLIS COMMITTEE,27312,1000
THOM TILLIS COMMITTEE,27313,500
THOM TILLIS COMMITTEE,27317,600
THOM TILLIS COMMITTEE,27325,300
THOM TILLIS COMMITTEE,27330,6750
THOM TILLIS COMMITTEE,27331,9600
THOM TILLIS COMMITTEE,27332,1585
THOM TILLIS COMMITTEE,27360,300
THOM TILLIS COMMITTEE,27403,750
THOM TILLIS COMMITTEE,27405,500
THOM TILLIS COMMITTEE,27406,1300
THOM TILLIS COMMITTEE,27407,2850
THOM TILLIS COMMITTEE,27408,1450
THOM TILLIS COMMITTEE,27410,2750
THOM TILLIS COMMITTEE,27455,5000
THOM TILLIS COMMITTEE,27511,3170
THOM TILLIS COMMITTEE,27513,2350
THOM TILLIS COMMITTEE,27514,1000
THOM TILLIS COMMITTEE,27515,600
THOM TILLIS COMMITTEE,27516,3050
THOM TILLIS COMMITTEE,27517,10400
THOM TILLIS COMMITTEE,27518,5800
THOM TILLIS COMMITTEE,27519,250
THOM TILLIS COMMITTEE,27520,250
THOM TILLIS COMMITTEE,27523,1000
THOM TILLIS COMMITTEE,27525,1800
THOM TILLIS COMMITTEE,27526,2950
THOM TILLIS COMMITTEE,27527,4000
THOM TILLIS COMMITTEE,27529,250
THOM TILLIS COMMITTEE,27534,200
THOM TILLIS COMMITTEE,27536,200
THOM TILLIS COMMITTEE,27537,500
THOM TILLIS COMMITTEE,27539,500
THOM TILLIS COMMITTEE,27540,4425
THOM TILLIS COMMITTEE,27549,200
THOM TILLIS COMMITTEE,27560,1100
THOM TILLIS COMMITTEE,27568,100
THOM TILLIS COMMITTEE,27569,100
THOM TILLIS COMMITTEE,27573,300
THOM TILLIS COMMITTEE,27574,500
THOM TILLIS COMMITTEE,27587,1800
THOM TILLIS COMMITTEE,27601,100
THOM TILLIS COMMITTEE,27604,500
THOM TILLIS COMMITTEE,27605,8200
THOM TILLIS COMMITTEE,27606,2850
THOM TILLIS COMMITTEE,27607,9600
THOM TILLIS COMMITTEE,27608,17250
THOM TILLIS COMMITTEE,27609,26290
THOM TILLIS COMMITTEE,27612,4200
THOM TILLIS COMMITTEE,27613,3300
THOM TILLIS COMMITTEE,27614,12800
THOM TILLIS COMMITTEE,27615,11550
THOM TILLIS COMMITTEE,27617,3000
THOM TILLIS COMMITTEE,27628,2552
THOM TILLIS COMMITTEE,27703,2450
THOM TILLIS COMMITTEE,27704,250
THOM TILLIS COMMITTEE,27705,500
THOM TILLIS COMMITTEE,27707,12950
THOM TILLIS COMMITTEE,27712,450
THOM TILLIS COMMITTEE,27713,1375
THOM TILLIS COMMITTEE,27803,1000
THOM TILLIS COMMITTEE,27804,6900
THOM TILLIS COMMITTEE,27834,1100
THOM TILLIS COMMITTEE,27835,2500
THOM TILLIS COMMITTEE,27836,100
THOM TILLIS COMMITTEE,27850,1000
THOM TILLIS COMMITTEE,27858,7200
THOM TILLIS COMMITTEE,27865,100
THOM TILLIS COMMITTEE,27885,150
THOM TILLIS COMMITTEE,27895,1000
THOM TILLIS COMMITTEE,27909,200
THOM TILLIS COMMITTEE,27932,150
THOM TILLIS COMMITTEE,27948,750
THOM TILLIS COMMITTEE,28001,2500
THOM TILLIS COMMITTEE,28027,250
THOM TILLIS COMMITTEE,28031,23700
THOM TILLIS COMMITTEE,28036,1400
THOM TILLIS COMMITTEE,28037,100
THOM TILLIS COMMITTEE,28054,1285
THOM TILLIS COMMITTEE,28070,300
THOM TILLIS COMMITTEE,28075,2100
THOM TILLIS COMMITTEE,28078,10363.58
THOM TILLIS COMMITTEE,28081,10000
THOM TILLIS COMMITTEE,28082,600
THOM TILLIS COMMITTEE,28092,1900
THOM TILLIS COMMITTEE,28101,1000
THOM TILLIS COMMITTEE,28103,250
THOM TILLIS COMMITTEE,28104,2550
THOM TILLIS COMMITTEE,28105,5550
THOM TILLIS COMMITTEE,28115,4800
THOM TILLIS COMMITTEE,28117,17750
THOM TILLIS COMMITTEE,28123,1000
THOM TILLIS COMMITTEE,28127,500
THOM TILLIS COMMITTEE,28133,75
THOM TILLIS COMMITTEE,28134,450
THOM TILLIS COMMITTEE,28138,200
THOM TILLIS COMMITTEE,28144,1750
THOM TILLIS COMMITTEE,28146,500
THOM TILLIS COMMITTEE,28147,200
THOM TILLIS COMMITTEE,28150,250
THOM TILLIS COMMITTEE,28152,200
THOM TILLIS COMMITTEE,28166,650
THOM TILLIS COMMITTEE,28168,50
THOM TILLIS COMMITTEE,28173,6550
THOM TILLIS COMMITTEE,28201,2000
THOM TILLIS COMMITTEE,28202,5300
THOM TILLIS COMMITTEE,28203,4800
THOM TILLIS COMMITTEE,28204,11300
THOM TILLIS COMMITTEE,28205,3300
THOM TILLIS COMMITTEE,28207,56490
THOM TILLIS COMMITTEE,28209,3350
THOM TILLIS COMMITTEE,28210,20450
THOM TILLIS COMMITTEE,28211,36225
THOM TILLIS COMMITTEE,28215,1100
THOM TILLIS COMMITTEE,28216,1000
THOM TILLIS COMMITTEE,28217,7300
THOM TILLIS COMMITTEE,28219,2800
THOM TILLIS COMMITTEE,28226,35100
THOM TILLIS COMMITTEE,28230,2600
THOM TILLIS COMMITTEE,28231,50
THOM TILLIS COMMITTEE,28235,1000
THOM TILLIS COMMITTEE,28247,1500
THOM TILLIS COMMITTEE,28262,2000
THOM TILLIS COMMITTEE,28269,2650
THOM TILLIS COMMITTEE,28270,3000
THOM TILLIS COMMITTEE,28273,6600
THOM TILLIS COMMITTEE,28277,18100
THOM TILLIS COMMITTEE,28301,5000
THOM TILLIS COMMITTEE,28302,2800
THOM TILLIS COMMITTEE,28303,20350
THOM TILLIS COMMITTEE,28304,5700
THOM TILLIS COMMITTEE,28305,9300
THOM TILLIS COMMITTEE,28306,3800
THOM TILLIS COMMITTEE,28307,200
THOM TILLIS COMMITTEE,28309,1100
THOM TILLIS COMMITTEE,28311,2600
THOM TILLIS COMMITTEE,28312,500
THOM TILLIS COMMITTEE,28314,3075
THOM TILLIS COMMITTEE,28328,6300
THOM TILLIS COMMITTEE,28334,51
THOM TILLIS COMMITTEE,28337,3100
THOM TILLIS COMMITTEE,28352,500
THOM TILLIS COMMITTEE,28358,1000
THOM TILLIS COMMITTEE,28374,15670.43
THOM TILLIS COMMITTEE,28387,400
THOM TILLIS COMMITTEE,28391,250
THOM TILLIS COMMITTEE,28394,500
THOM TILLIS COMMITTEE,28403,27750
THOM TILLIS COMMITTEE,28405,5825
THOM TILLIS COMMITTEE,28406,4000
THOM TILLIS COMMITTEE,28409,7550
THOM TILLIS COMMITTEE,28411,9500
THOM TILLIS COMMITTEE,28429,75
